appln_id,weighted_weak_ties,age,KR.x,techsum,d_index,c_index,D_index,citation_num,docdb_family_size,appln_auth,appln_filing_year,appln_kind,science_intensity,avg,sect.y,avg2,focal_aid,tie_strength,Bool_weak,weighted_tie_strengh,Bool_weighted_weak,new_Bool_weighted_weak,IPC_LIST,number_of_ipc4,ipc_distance
142658,1,16.0,0.715641343,17.5,0.0,0.0,0.0,0,8,EP,2003,A,0.0,0.0,1,0.0,142658,0.0,1,0.0,1,弱链接,C07D;A61K,2,0.7586259285942241
144133,0,5.0,0.289407626,25.5,0.0,0.0,0.0,0,7,EP,2003,A,0.75,0.770833333,1,0.594184028,144133,0.2727272727272727,0,0.7708333333333334,0,强链接,A61K;A61P,2,0.40579033829646605
146410,0,23.33333333,0.0,438.9166667,0.101811035,0.0,0.023255814,2,5,EP,2004,A,0.0,0.133239229,1,0.017752692,146410,0.0482758620689655,0,0.41862652869238,0,强链接,A61K,1,0.0
146608,2,23.5,0.950628956,694.5,0.269199522,0.0,0.036697248,4,15,EP,2004,A,0.0,0.0,4,0.0,146608,0.0196078431372549,0,0.064516129032258,0,强链接,A61K;A23L,2,0.5649615945271644
146698,2,0.0,0.573690387,0.0,0.0,0.0,0.0,0,9,EP,2004,A,0.0,0.0,2,0.0,146698,0.0,2,0.0,2,,C07D;A61K;A61P,3,0.5585213767579899
147389,2,0.0,0.971366055,0.0,0.0,0.0,0.0,0,9,EP,2004,A,0.0,0.0,6,0.0,147389,0.0,2,0.0,2,,A61F;A61L;A61K,3,0.5436027393440539
147944,0,39.0,0.976873738,2850.5,0.0,0.0,0.0,0,8,EP,2004,A,0.5,0.005252588,2,2.76e-05,147944,0.0014684287812041,0,0.0048773490173576,0,强链接,A61Q;A61K;C07H;C08B,4,0.6519624236804541
148374,0,23.5,0.363622949,1431.0,0.0,0.0,0.0,0,31,EP,1998,A,0.5,0.054791515,7,0.00300211,148374,0.0554982489491796,0,0.0537779225688516,0,强链接,A61K;A61P,2,0.40579033829646605
150058,0,16.5,0.58032804,1576.333333,0.666666667,0.0,0.5,1,26,EP,2005,A,0.0,0.030052385,7,0.000903,150058,0.0240136905111568,0,0.184839211652766,0,强链接,C07D;A61K;A61P,3,0.5585213767579899
150629,2,0.0,0.321016628,0.0,0.276666667,0.0,0.117647059,2,13,EP,2005,A,0.761904762,0.0,4,0.0,150629,0.0,1,0.0,1,弱链接,A61K;A61P,2,0.40579033829646605
